#BOM付きUTF8で保存された場合に一行目が解析不能になるDLPropertiesの不具合に備えてコメントアウト

Num  = 3074
1    = "Attack3100_to_GuardIdle"
2    = "Attack3101_to_GuardIdle"
3    = "Attack3102_to_GuardIdle"
4    = "Attack3103_to_GuardIdle"
5    = "Attack3104_to_GuardIdle"
6    = "Attack4000_to_ParryIdle"
7    = "DamageLargeFrontFireBlend_Add_to_DamageLargeFrontFireBlend_NoAdd"
8    = "DamageMiddleFrontFireBlend_Add_to_DamageMiddleFrontFireBlend_NoAdd"
9    = "DamageMinimumSABlend_Add_to_DamageMinimumSABlend_NoAdd"
10   = "DamageSmallFrontFireBlend_Add_to_DamageSmallFrontFireBlend_NoAdd"
11   = "DirDamageLarge_Back_Add_to_NewDamageBlend_NoAdd"
12   = "DirDamageLarge_Back_Left_Add_to_NewDamageBlend_NoAdd"
13   = "DirDamageLarge_Back_Right_Add_to_NewDamageBlend_NoAdd"
14   = "DirDamageLarge_Left_Add_to_NewDamageBlend_NoAdd"
15   = "DirDamageLarge_Left_Left_Add_to_NewDamageBlend_NoAdd"
16   = "DirDamageLarge_Left_Right_Add_to_NewDamageBlend_NoAdd"
17   = "DirDamageLarge_Right_Add_to_NewDamageBlend_NoAdd"
18   = "DirDamageLarge_Right_Left_Add_to_NewDamageBlend_NoAdd"
19   = "DirDamageLarge_Right_Right_Add_to_NewDamageBlend_NoAdd"
20   = "DirDamageLargeBack_Add_to_DamageBlend_NoAdd"
21   = "DirDamageLargeFront_Add_to_DamageBlend_NoAdd"
22   = "DirDamageLargeFrontDown_Add_to_DamageBlend_NoAdd"
23   = "DirDamageLargeFrontUp_Add_to_DamageBlend_NoAdd"
24   = "DirDamageLargeLeft_Add_to_DamageBlend_NoAdd"
25   = "DirDamageLargeRight_Add_to_DamageBlend_NoAdd"
26   = "DirDamageMiddle_Back_Add_to_NewDamageBlend_NoAdd"
27   = "DirDamageMiddle_Back_Left_Add_to_NewDamageBlend_NoAdd"
28   = "DirDamageMiddle_Back_Right_Add_to_NewDamageBlend_NoAdd"
29   = "DirDamageMiddle_Left_Add_to_NewDamageBlend_NoAdd"
30   = "DirDamageMiddle_Left_Left_Add_to_NewDamageBlend_NoAdd"
31   = "DirDamageMiddle_Left_Right_Add_to_NewDamageBlend_NoAdd"
32   = "DirDamageMiddle_Right_Add_to_NewDamageBlend_NoAdd"
33   = "DirDamageMiddle_Right_Left_Add_to_NewDamageBlend_NoAdd"
34   = "DirDamageMiddle_Right_Right_Add_to_NewDamageBlend_NoAdd"
35   = "DirDamageMiddleBack_Add_to_DamageBlend_NoAdd"
36   = "DirDamageMiddleFront_Add_to_DamageBlend_NoAdd"
37   = "DirDamageMiddleFrontDown_Add_to_DamageBlend_NoAdd"
38   = "DirDamageMiddleFrontUp_Add_to_DamageBlend_NoAdd"
39   = "DirDamageMiddleLeft_Add_to_DamageBlend_NoAdd"
40   = "DirDamageMiddleRight_Add_to_DamageBlend_NoAdd"
41   = "DirDamageSmall_Back_Add_to_NewDamageBlend_NoAdd"
42   = "DirDamageSmall_Back_Left_Add_to_NewDamageBlend_NoAdd"
43   = "DirDamageSmall_Back_Right_Add_to_NewDamageBlend_NoAdd"
44   = "DirDamageSmall_Left_Add_to_NewDamageBlend_NoAdd"
45   = "DirDamageSmall_Left_Left_Add_to_NewDamageBlend_NoAdd"
46   = "DirDamageSmall_Left_Right_Add_to_NewDamageBlend_NoAdd"
47   = "DirDamageSmall_Right_Add_to_NewDamageBlend_NoAdd"
48   = "DirDamageSmall_Right_Left_Add_to_NewDamageBlend_NoAdd"
49   = "DirDamageSmall_Right_Right_Add_to_NewDamageBlend_NoAdd"
50   = "DirDamageSmallBack_Add_to_DamageBlend_NoAdd"
51   = "DirDamageSmallFront_Add_to_DamageBlend_NoAdd"
52   = "DirDamageSmallFrontDown_Add_to_DamageBlend_NoAdd"
53   = "DirDamageSmallFrontUp_Add_to_DamageBlend_NoAdd"
54   = "DirDamageSmallLeft_Add_to_DamageBlend_NoAdd"
55   = "DirDamageSmallRight_Add_to_DamageBlend_NoAdd"
56   = "FireMiddleDamageBlend_Add_to_FireDamageBlend_NoAdd"
57   = "FireSmallDamageBlend_Add_to_FireDamageBlend_NoAdd"
58   = "GuardAttack3100_to_GuardIdle"
59   = "GuardAttack3101_to_GuardIdle"
60   = "GuardAttack3102_to_GuardIdle"
61   = "GuardAttack3103_to_GuardIdle"
62   = "GuardAttack3104_to_GuardIdle"
63   = "GuardBlend_Add_to_GuardBlend_NoAdd"
64   = "GuardBlend_NoAdd_to_GuardBlend_Add"
65   = "GuardDamageLarge_to_GuardIdle"
66   = "GuardDamageLargeLowStamina_to_GuardIdle"
67   = "GuardDamageMiddle_to_GuardIdle"
68   = "GuardDamageSmall_to_GuardIdle"
69   = "GuardDamageSmallLowStamina_to_GuardIdle"
70   = "GuardStart_to_GuardIdle"
71   = "GuardTurn_to_GuardIdle"
72   = "Idle"
73   = "Idle_wild"
74   = "IdleToIdleUnique1750_to_IdleUnique700"
75   = "IdleToIdleUnique1751_to_IdleUnique701"
76   = "IdleToIdleUnique1752_to_IdleUnique702"
77   = "IdleToIdleUnique1753_to_IdleUnique703"
78   = "IdleToIdleUnique1754_to_IdleUnique704"
79   = "IdleToIdleUnique1755_to_IdleUnique705"
80   = "IdleToIdleUnique1756_to_IdleUnique706"
81   = "IdleToIdleUnique1757_to_IdleUnique707"
82   = "IdleToIdleUnique1758_to_IdleUnique708"
83   = "IdleToIdleUnique1759_to_IdleUnique709"
84   = "IdleToIdleUnique1760_to_IdleUnique710"
85   = "IdleToIdleUnique1761_to_IdleUnique711"
86   = "IdleToIdleUnique1762_to_IdleUnique712"
87   = "IdleToIdleUnique1763_to_IdleUnique713"
