UltrawideFix > Activating ultrawide fix...
UltrawideFix > Process name: nightreign.exe
UltrawideFix > Process ID: 23648
UltrawideFix > Process base address: 00007ff7422b0000
UltrawideFix > AOB: 85 c0 74 73 46 8b 84 21 b4 04 00 00 45 85 c0 74
UltrawideFix > Checking region: 00007ff7422b0000
UltrawideFix > Checking region: 00007ff7423e9000
UltrawideFix > Checking region: 00007ff7423ea000
UltrawideFix > Checking region: 00007ff742434000
UltrawideFix > Checking region: 00007ff742435000
UltrawideFix > Checking region: 00007ff74243b000
UltrawideFix > Checking region: 00007ff74243c000
UltrawideFix > Checking region: 00007ff742442000
UltrawideFix > Checking region: 00007ff742444000
UltrawideFix > Checking region: 00007ff74244b000
UltrawideFix > Checking region: 00007ff74244d000
UltrawideFix > Checking region: 00007ff742458000
UltrawideFix > Checking region: 00007ff742459000
UltrawideFix > Checking region: 00007ff74245b000
UltrawideFix > Checking region: 00007ff74245c000
UltrawideFix > Checking region: 00007ff742483000
UltrawideFix > Checking region: 00007ff742484000
UltrawideFix > Checking region: 00007ff74248e000
UltrawideFix > Checking region: 00007ff74248f000
UltrawideFix > Checking region: 00007ff742498000
UltrawideFix > Checking region: 00007ff742499000
UltrawideFix > Checking region: 00007ff7424aa000
UltrawideFix > Checking region: 00007ff7424ab000
UltrawideFix > Checking region: 00007ff7424ac000
UltrawideFix > Checking region: 00007ff7424af000
UltrawideFix > Checking region: 00007ff7424b0000
UltrawideFix > Checking region: 00007ff7424b1000
UltrawideFix > Checking region: 00007ff742503000
UltrawideFix > Checking region: 00007ff742504000
UltrawideFix > Checking region: 00007ff742570000
UltrawideFix > Checking region: 00007ff742571000
UltrawideFix > Checking region: 00007ff742580000
UltrawideFix > Checking region: 00007ff742581000
UltrawideFix > Checking region: 00007ff7425b2000
UltrawideFix > Checking region: 00007ff7425b3000
UltrawideFix > Checking region: 00007ff742623000
UltrawideFix > Checking region: 00007ff742624000
UltrawideFix > Checking region: 00007ff742629000
UltrawideFix > Checking region: 00007ff74262a000
UltrawideFix > Checking region: 00007ff74262f000
UltrawideFix > Checking region: 00007ff742630000
UltrawideFix > Checking region: 00007ff74263d000
UltrawideFix > Checking region: 00007ff74263e000
UltrawideFix > Checking region: 00007ff74267d000
UltrawideFix > Checking region: 00007ff74267e000
UltrawideFix > Checking region: 00007ff74268b000
UltrawideFix > Checking region: 00007ff74268c000
UltrawideFix > Checking region: 00007ff74275e000
UltrawideFix > Checking region: 00007ff74275f000
UltrawideFix > Checking region: 00007ff742780000
UltrawideFix > Checking region: 00007ff742781000
UltrawideFix > Checking region: 00007ff7427a9000
UltrawideFix > Checking region: 00007ff7427aa000
UltrawideFix > Checking region: 00007ff7427ae000
UltrawideFix > Checking region: 00007ff7427b0000
UltrawideFix > Checking region: 00007ff7427ce000
UltrawideFix > Checking region: 00007ff7427cf000
UltrawideFix > Checking region: 00007ff7427ea000
UltrawideFix > Checking region: 00007ff7427eb000
UltrawideFix > Checking region: 00007ff7427ee000
UltrawideFix > Checking region: 00007ff7427ef000
UltrawideFix > Checking region: 00007ff742822000
UltrawideFix > Checking region: 00007ff742823000
UltrawideFix > Checking region: 00007ff742826000
UltrawideFix > Checking region: 00007ff742827000
UltrawideFix > Checking region: 00007ff74282f000
