UnlockTheFps > Activating UnlockTheFps...
UnlockTheFps > FPS limit: 144
UnlockTheFps > Frametime: 0.00694444
UnlockTheFps > Process name: nightreign.exe
UnlockTheFps > Process ID: 23648
UnlockTheFps > Process base address: 00007ff7422b0000
UnlockTheFps > AOB: c7 43 ? ? 88 88 3c
UnlockTheFps > Checking region: 00007ff7422b0000
UnlockTheFps > Checking region: 00007ff7423e9000
UnlockTheFps > Checking region: 00007ff7423ea000
UnlockTheFps > Checking region: 00007ff742434000
UnlockTheFps > Checking region: 00007ff742435000
UnlockTheFps > Checking region: 00007ff74243b000
UnlockTheFps > Checking region: 00007ff74243c000
UnlockTheFps > Checking region: 00007ff742442000
UnlockTheFps > Checking region: 00007ff742444000
UnlockTheFps > Checking region: 00007ff74244b000
UnlockTheFps > Checking region: 00007ff74244d000
UnlockTheFps > Checking region: 00007ff742458000
UnlockTheFps > Checking region: 00007ff742459000
UnlockTheFps > Checking region: 00007ff74245b000
UnlockTheFps > Checking region: 00007ff74245c000
UnlockTheFps > Checking region: 00007ff742483000
UnlockTheFps > Checking region: 00007ff742484000
UnlockTheFps > Checking region: 00007ff74248e000
UnlockTheFps > Checking region: 00007ff74248f000
UnlockTheFps > Checking region: 00007ff742498000
UnlockTheFps > Checking region: 00007ff742499000
UnlockTheFps > Checking region: 00007ff7424aa000
UnlockTheFps > Checking region: 00007ff7424ab000
UnlockTheFps > Checking region: 00007ff7424ac000
UnlockTheFps > Checking region: 00007ff7424af000
UnlockTheFps > Checking region: 00007ff7424b0000
UnlockTheFps > Checking region: 00007ff7424b1000
UnlockTheFps > Checking region: 00007ff742503000
UnlockTheFps > Checking region: 00007ff742504000
UnlockTheFps > Checking region: 00007ff742570000
UnlockTheFps > Checking region: 00007ff742571000
UnlockTheFps > Checking region: 00007ff742580000
UnlockTheFps > Checking region: 00007ff742581000
UnlockTheFps > Checking region: 00007ff7425b2000
UnlockTheFps > Checking region: 00007ff7425b3000
UnlockTheFps > Checking region: 00007ff742623000
UnlockTheFps > Checking region: 00007ff742624000
UnlockTheFps > Checking region: 00007ff742629000
UnlockTheFps > Checking region: 00007ff74262a000
UnlockTheFps > Checking region: 00007ff74262f000
UnlockTheFps > Checking region: 00007ff742630000
UnlockTheFps > Checking region: 00007ff74263d000
UnlockTheFps > Checking region: 00007ff74263e000
UnlockTheFps > Checking region: 00007ff74267d000
UnlockTheFps > Checking region: 00007ff74267e000
UnlockTheFps > Checking region: 00007ff74268b000
UnlockTheFps > Checking region: 00007ff74268c000
UnlockTheFps > Checking region: 00007ff74275e000
UnlockTheFps > Checking region: 00007ff74275f000
UnlockTheFps > Checking region: 00007ff742780000
UnlockTheFps > Checking region: 00007ff742781000
UnlockTheFps > Checking region: 00007ff7427a9000
UnlockTheFps > Checking region: 00007ff7427aa000
UnlockTheFps > Checking region: 00007ff7427ae000
UnlockTheFps > Checking region: 00007ff7427b0000
UnlockTheFps > Checking region: 00007ff7427ce000
UnlockTheFps > Checking region: 00007ff7427cf000
UnlockTheFps > Checking region: 00007ff7427ea000
UnlockTheFps > Checking region: 00007ff7427eb000
UnlockTheFps > Checking region: 00007ff7427ee000
UnlockTheFps > Checking region: 00007ff7427ef000
UnlockTheFps > Checking region: 00007ff742822000
UnlockTheFps > Checking region: 00007ff742823000
UnlockTheFps > Checking region: 00007ff742826000
UnlockTheFps > Checking region: 00007ff742827000
UnlockTheFps > Checking region: 00007ff74282f000
UnlockTheFps > Checking region: 00007ff742830000
UnlockTheFps > Checking region: 00007ff742831000
UnlockTheFps > Checking region: 00007ff742832000
UnlockTheFps > Checking region: 00007ff742838000
UnlockTheFps > Checking region: 00007ff742839000
UnlockTheFps > Checking region: 00007ff74283d000
UnlockTheFps > Checking region: 00007ff74283e000
UnlockTheFps > Checking region: 00007ff742847000
UnlockTheFps > Checking region: 00007ff742848000
UnlockTheFps > Checking region: 00007ff742858000
UnlockTheFps > Checking region: 00007ff742859000
UnlockTheFps > Checking region: 00007ff742863000
UnlockTheFps > Checking region: 00007ff742864000
